0,0,0,0
2,27.83,27.97,29.55
4,27.98,28.23,30.65
6,28.09,28.35,30.95
8,28.11,28.49,31.4
10,28.13,28.59,31.25
12,28.16,29.29,31.65
14,28.16,29.46,32.05
16,28.19,29.63,32.35
18,28.3,29.87,32.55
20,28.31,30.6,32.55
22,28.38,30.78,33.2
24,28.34,31.07,33.1
26,28.41,31.89,33.4
28,28.43,32.17,33.2
30,28.49,32.97,33.9
32,28.55,33.32,33.55
34,28.56,34.14,33.4
36,28.67,34.49,33.65
38,28.65,35.36,33.35
40,28.71,35.63,33.65
42,28.79,36.52,33.75
44,28.79,36.88,33.75
46,28.88,37.74,33.5
48,28.89,38.1,34.05
50,28.96,38.91,33.9
52,28.99,39.26,33.95
54,28.94,40.13,34.05
56,29.02,40.49,34.65
58,29.1,41.32,35.1
60,29.09,41.62,34.95
62,29.14,42.49,34.95
64,29.16,43.33,35.25
66,29.14,43.65,35.35
68,29.2,44.42,35.65
70,29.23,44.73,36.1
72,29.27,45.54,36.75
74,29.31,45.83,36.9
76,29.23,46.63,36.5
78,29.34,46.86,37.05
80,29.39,47.66,37.2
82,29.45,47.91,37.05
84,29.41,48.67,36.95
86,29.5,48.87,37.05
88,29.59,49.6,37.8
90,29.68,49.83,37.75
92,29.7,50.53,38.65
94,29.78,50.78,39.2
96,29.78,50.89,38.95
98,29.88,51.59,40.1
100,29.99,51.75,40.65
102,30.05,52.44,40.8
104,30.21,52.6,41.25
106,30.16,52.73,41.8
108,30.25,52.82,42.6
110,30.35,53.41,42.95
112,30.46,53.51,43.1
114,30.5,53.59,43.35
116,30.57,53.66,43.75
118,30.75,54.21,44.4
120,30.86,54.25,44.6
122,30.84,54.31,45.5
124,30.88,54.31,45.6
126,31.06,54.29,45.95
128,31.13,54.24,46.05
130,31.24,54.21,46.8
132,31.34,54.17,47.2
134,31.42,54.11,47.75
136,31.49,54.06,47.1
138,31.6,53.95,47.5
140,31.8,53.84,47.75
142,31.95,53.72,48.4
144,32.02,53.55,49.25
146,32.12,53.42,49.6
148,32.25,52.71,50.2
150,32.34,52.54,50.1
152,32.43,52.3,51.05
154,32.61,52.13,50.8
156,32.73,51.38,50.95
158,32.86,51.11,51.65
160,32.92,50.84,51.7
162,33.09,50.04,52.25
164,33.17,49.71,52.25
166,33.27,49.43,54.65
168,33.44,48.63,54.8
170,33.53,47.81,53.35
172,33.57,47.5,53.2
174,33.75,47.16,53.35
176,33.81,46.45,54.2
178,33.98,46.08,54.65
180,34.07,45.36,54.05
182,34.24,45.1,53.8
184,34.34,44.34,53.65
186,34.53,44.07,53.4
188,34.6,43.3,54.2
190,34.74,43.07,53.4
192,34.81,42.84,54.1
194,34.91,42.13,54.1
196,34.99,41.9,53.7
198,35.06,41.2,54.55
200,35.15,41.05,54.1
202,35.17,40.82,53.7
204,35.3,40.15,53.65
206,35.42,39.96,53.4
208,35.41,39.78,54.1
210,35.51,39.11,54.5
212,35.64,38.98,54.25
214,35.6,38.83,54.7
216,35.73,38.16,54.35
218,35.73,38.06,55.4
220,35.71,37.88,54.85
222,35.77,37.3,54.55
224,35.84,37.19,54.5
226,35.89,37.07,54.55
228,35.91,36.48,55.5
230,35.95,36.39,55.1
232,36.02,36.26,55
234,36.06,36.19,55.55
236,36.05,36.13,55.7
238,36.09,35.51,55.7
240,36,35.47,59.3
242,36.05,35.45,55.95
244,36.19,35.35,56.1
246,36.16,35.29,55.35
248,36.16,34.75,54.65
250,36.16,34.7,57.35
252,36.08,34.67,56.5
254,36.16,34.61,58.4
256,36.13,34.6,57.4
258,36.08,34.55,59
260,36.08,34.56,57.7
262,36.06,34.53,59.8
264,36.02,34.54,60.4
266,35.98,33.97,57.1
268,36.07,34.02,57.35
270,36,34,56.95
272,36.02,34,55.1
274,36.07,34.02,53.9
276,36.07,34.02,53.95
278,36.1,34.03,54.65
280,36.19,34.06,54.8
282,36.12,34.09,54.65
284,36.09,34.12,53.65
286,36.14,34.15,54.2
288,36.09,34.15,54.1
290,36.07,34.18,53.05
292,35.98,34.22,53.55
