Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep),CR:Zone Mean Air Temperature [C](TimeStep),CR:AFN Zone Infiltration Air Change Rate [ach](Hourly) 
 05/03  07:50:00,22.9,45.0,1.1,122.0,98.1,358.2074,22.558486430287205,24.877992466849024 
 05/03  08:00:00,24.3,45.0,1.2,146.0,106.6,397.4757,24.894901524127435,25.0026550774929,0.16169458866029363 
 05/03  08:10:00,24.3,44.0,1.0,160.0,114.5,430.5085,27.235337620636075,25.136554937694635 
 05/03  08:20:00,24.4,44.0,1.4,152.0,122.5,471.4503,29.57947498174802,25.242014083378554 
 05/03  08:30:00,24.7,43.0,1.0,204.0,129.4,499.818,31.927009572584884,25.331197658676968 
 05/03  08:40:00,25.1,43.0,1.2,155.0,136.0,525.6064,34.27765018757681,25.414388440682904 
 05/03  08:50:00,25.4,41.0,1.7,169.0,143.7,543.7322,36.63111551368091,25.49612745910291 
 05/03  09:00:00,25.9,40.0,1.2,137.0,152.0,563.5002,38.98713102443849,25.5548586114335,0.14730731568364095 
 05/03  09:10:00,26.2,40.0,1.4,174.0,157.8,579.8143,41.3454255690634,25.65922433473319 
 05/03  09:20:00,26.3,40.0,0.7,224.0,158.5,600.2183,43.705727475923918,25.77566734045865 
 05/03  09:30:00,26.4,40.0,2.7,194.0,165.0,626.143,46.06775992173746,25.893739023068837 
 05/03  09:40:00,26.4,41.0,3.3,198.0,168.6,652.0311,48.43123521361905,25.95663774442214 
 05/03  09:50:00,25.9,40.0,1.9,185.0,173.9,670.311,50.7958474693295,26.03407181008603 
 05/03  10:00:00,26.2,38.0,1.6,192.0,174.4,667.6301,53.16126292508732,26.153547555069648,0.2648439943266108 
 05/03  10:10:00,26.9,39.0,2.6,205.0,176.0,708.4256,55.52710668617335,26.27390412538096 
 05/03  10:20:00,27.2,37.0,2.5,201.0,178.3,721.5822,57.89294404803401,26.443111269052318 
 05/03  10:30:00,27.3,37.0,1.0,232.0,179.2,733.435,60.25825333997625,26.549502424729213 
 05/03  10:40:00,27.4,35.0,2.1,200.0,180.5,743.8314,62.62238516454415,26.69958689531679 
 05/03  10:50:00,27.6,36.0,2.3,137.0,181.8,758.3563,64.9844990850847,26.877066405242734 
 05/03  11:00:00,28.5,35.0,3.1,215.0,184.5,765.5967,67.34346147641378,27.089703431037529,0.3069317072125843 
 05/03  11:10:00,28.0,33.0,2.1,185.0,187.7,773.3596,69.69767342382026,27.15377328454637 
 05/03  11:20:00,29.1,34.0,1.0,255.0,191.3,770.2245,72.0447657442439,27.298886703795927 
 05/03  11:30:00,29.2,31.0,3.1,152.0,194.3,772.2268,74.38102499276703,27.512089925412434 
 05/03  11:40:00,29.9,30.0,1.5,177.0,199.7,774.0702,76.70023108529976,27.628553736389966 
 05/03  11:50:00,30.5,29.0,1.9,126.0,202.6,773.6448,78.99107991038753,27.813612715479097 
 05/03  12:00:00,31.4,29.0,1.6,172.0,204.0,777.0898,81.23078016918314,27.989807437139239,0.2255185268397556 
 05/03  12:10:00,30.8,30.0,2.7,178.0,205.0,772.1732,83.36675170945145,28.114563260290699 
 05/03  12:20:00,30.6,29.0,2.4,110.0,208.6,776.0609,85.25614947926469,28.221699734052718 
 05/03  12:30:00,30.8,29.0,1.1,124.0,212.7,770.7577,86.47647934514134,28.296856601399879 
 05/03  12:40:00,30.9,27.0,2.8,93.0,215.7,770.9111,86.29393771169903,28.409502382261896 
 05/03  12:50:00,31.5,27.0,1.6,81.0,220.6,754.436,84.85578008934786,28.52273477899638 
 05/03  13:00:00,31.8,27.0,1.5,144.0,223.7,760.1459,82.88681600035305,28.675884556167778,0.17934118299281319 
 05/03  13:10:00,32.0,28.0,1.8,83.0,229.7,753.1528,80.71915720048647,28.818836604738359 
 05/03  13:20:00,31.8,28.0,2.3,135.0,235.4,752.7978,78.46453195042449,28.90324852903617 
 05/03  13:30:00,31.6,27.0,2.3,86.0,243.3,750.4604,76.16567941485133,28.96626968318654 
 05/03  13:40:00,32.8,26.0,2.7,105.0,264.8,746.6853,73.84177129848152,29.137033206899838 
 05/03  13:50:00,33.5,26.0,1.8,280.0,313.1,615.6977,71.50257139721538,29.260634262666679 
 05/03  14:00:00,31.8,27.0,1.0,191.0,301.6,149.0546,69.15356378304979,29.19141658091204,0.1535099471893829 
 05/03  14:10:00,32.4,26.0,1.1,175.0,330.0,332.701,66.79807696197999,29.271752820837798 
 05/03  14:20:00,32.8,26.0,2.5,252.0,310.1,656.1034,64.43826395931548,29.459702214648588 
 05/03  14:30:00,33.7,24.0,4.9,249.0,306.0,643.9626,62.07559523954437,29.706274821332614 
 05/03  14:40:00,32.9,25.0,3.7,236.0,306.6,584.1201,59.711124553375658,29.71913296951662 
 05/03  14:50:00,33.3,25.0,1.3,222.0,320.3,595.8643,57.34564083549357,29.73797852103443 
 05/03  15:00:00,33.9,24.0,3.4,249.0,347.2,611.4919,54.979759321363577,29.9327244229004,0.33570360835106557 
 05/03  15:10:00,33.6,25.0,4.1,237.0,310.9,471.6863,52.61397854354132,30.083948391056624 
 05/03  15:20:00,32.9,25.0,3.7,276.0,319.7,443.1223,50.248717328276509,30.000045888203056 
 05/03  15:30:00,33.3,24.0,2.8,293.0,274.8,411.1459,47.88433963067411,30.002401880165765 
 05/03  15:40:00,33.5,22.0,2.5,312.0,196.6,302.4325,45.52117174004748,30.03190783702086 
 05/03  15:50:00,32.9,23.0,2.9,316.0,121.4,31.7218,43.15951457085754,29.957392674148303 
 05/03  16:00:00,32.6,28.0,8.0,0.0,83.0,19.5881,40.79965271916689,30.05682330905063,0.6001586605562562 
 05/03  16:10:00,30.9,28.0,10.6,14.0,60.94,20.5866,38.44186135461147,29.89277920325065 
 05/03  16:20:00,29.4,26.0,8.1,344.0,49.32,17.7065,36.08641164817964,29.596929810606349 
 05/03  16:30:00,29.0,29.0,8.7,17.0,37.39,12.9282,33.73357520630792,29.50194719200195 
 05/03  16:40:00,28.4,29.0,5.2,42.0,43.15,15.2262,31.38362783589674,29.387062885794728 
 05/03  16:50:00,29.2,29.0,4.3,346.0,61.68,21.8986,29.036852870548168,29.41745161906547 
 05/03  17:00:00,28.0,37.0,6.2,354.0,100.8,41.1782,26.69354422658009,29.307378214670178,1.4541569116391376 
 05/03  17:10:00,26.8,44.0,4.1,332.0,131.9,71.2862,24.354009316648818,29.237249611398185 
 05/03  17:20:00,26.8,41.0,4.2,332.0,117.0,63.7406,22.018571922008598,29.17438028425798 
 05/03  17:30:00,27.5,38.0,3.9,334.0,94.2,46.5956,19.687575107096639,29.19819290721656 
 05/03  17:40:00,28.0,37.0,3.9,329.0,98.2,55.621,17.361384249414728,29.2395581483568 
 05/03  17:50:00,28.3,40.0,3.7,349.0,85.8,57.4067,15.040390251770094,29.2592851067703 
 05/03  18:00:00,28.1,40.0,4.0,358.0,93.6,79.4285,12.725013001678976,29.241363232097233,0.6528252976415221 
 05/03  18:10:00,28.4,39.0,3.6,351.0,72.01,76.2548,10.415705143390105,29.227846934515907 
 05/03  18:20:00,28.3,40.0,2.4,319.0,39.85,57.0913,8.112956231107422,29.183838752200434 
 05/03  18:30:00,28.1,42.0,3.1,338.0,33.48,71.0981,5.8172973373437169,29.12509017898251 
 05/03  18:40:00,27.9,42.0,1.8,350.0,26.09,86.9967,3.529306197811684,29.063135447761629 
 05/03  18:50:00,27.8,42.0,2.9,40.0,12.42,138.1485,1.249612983860503,29.000398940593919 
 05/03  19:00:00,27.7,43.0,2.2,4.0,0.0,0.0,-1.021093194723138,28.897736058897029,0.39317489670576868 
 05/03  19:10:00,27.4,45.0,1.6,1.0,0.0,0.0,-3.2820569395844476,28.782902972043968 
 05/03  19:20:00,27.0,46.0,2.1,352.0,0.0,0.0,-5.532448232728226,28.666123259383985 
 05/03  19:30:00,26.9,47.0,1.8,349.0,0.0,0.0,-7.771352971574734,28.62418575964594 
 05/03  19:40:00,26.6,47.0,2.7,354.0,0.0,0.0,-9.997762195091874,28.497474020672109 
 05/03  19:50:00,26.3,47.0,3.3,341.0,0.0,0.0,-12.210559800975732,28.37868843100516 
 05/03  20:00:00,26.0,46.0,4.2,328.0,0.0,0.0,-14.4085085261274,28.25574816122343,0.3905266961571107 
 05/03  20:10:00,26.3,42.0,3.2,337.0,0.0,0.0,-16.59023393260069,28.211085640350598 
 05/03  20:20:00,26.1,43.0,1.6,83.0,0.0,0.0,-18.754206109620559,28.2179256036132 
 05/03  20:30:00,26.0,42.0,0.8,70.0,0.0,0.0,-20.898718770752227,28.196356169534849 
 05/03  20:40:00,26.2,43.0,1.4,7.0,0.0,0.0,-23.02186539648672,28.14446366673259 
