time,Ig
2018-01-01,4692.693333333333
2018-01-02,4976.943666666666
2018-01-03,4839.385666666666
2018-01-04,4899.825833333332
2018-01-05,4846.022
2018-01-06,4924.844833333333
2018-01-07,5218.968833333333
2018-01-08,4972.514333333333
2018-01-09,5245.885833333333
2018-01-10,5132.1555
2018-01-11,5027.275166666666
2018-01-12,5094.364
2018-01-13,5229.2536666666665
2018-01-14,5062.207833333333
2018-01-15,5656.4085
2018-01-16,5350.874333333333
2018-01-17,5028.946166666667
2018-01-18,4963.230333333333
2018-01-19,4725.3435
2018-01-20,5606.764499999999
2018-01-21,5589.414833333333
2018-01-22,5654.703833333333
2018-01-23,5394.753833333333
2018-01-24,5084.526
2018-01-25,4743.415666666666
2018-01-26,4357.972833333333
2018-01-27,5252.941666666667
2018-01-28,4780.274833333333
2018-01-29,4336.1134999999995
2018-01-30,3830.4705
2018-01-31,3871.0346666666665
2018-02-01,4808.573833333333
2018-02-02,5668.977499999999
2018-02-03,5088.5796666666665
2018-02-04,5706.094166666667
2018-02-05,5236.4675
2018-02-06,5236.4675
2018-02-07,5258.815166666666
2018-02-08,5523.911833333333
2018-02-09,5327.004666666666
2018-02-10,5187.6849999999995
2018-02-11,5622.0289999999995
2018-02-12,6020.477
2018-02-13,6270.6365000000005
2018-02-14,6187.132333333333
2018-02-15,6458.977333333333
2018-02-16,6450.833833333332
2018-02-17,6308.954166666666
2018-02-18,6319.477333333333
2018-02-19,6258.464166666666
2018-02-20,6327.768833333333
2018-02-21,6464.604333333333
2018-02-22,6026.211166666666
2018-02-23,6291.884666666666
2018-02-24,6186.298666666667
2018-02-25,6268.680166666666
2018-02-26,5863.4276666666665
2018-02-27,6158.313166666667
2018-02-28,6628.017666666667
2018-03-01,6367.336333333334
2018-03-02,6761.208499999999
2018-03-03,6489.250166666666
2018-03-04,6775.322666666667
2018-03-05,6781.0
2018-03-06,6631.151
2018-03-07,5260.594499999999
2018-03-08,6805.1838333333335
2018-03-09,6583.701666666666
2018-03-10,6198.2164999999995
2018-03-11,6650.193666666666
2018-03-12,6676.583
2018-03-13,6963.2384999999995
2018-03-14,6857.847
2018-03-15,6965.721666666666
2018-03-16,7198.443
2018-03-17,7257.503166666666
2018-03-18,6079.040666666666
2018-03-19,6634.975666666666
2018-03-20,6951.097166666666
2018-03-21,6265.276
2018-03-22,7135.543
2018-03-23,7156.4985
2018-03-24,7327.031666666667
2018-03-25,7135.543
2018-03-26,7156.4985
2018-03-27,7409.9113333333335
2018-03-28,7436.619333333333
2018-03-29,7534.298833333332
2018-03-30,7185.9321666666665
2018-03-31,6298.6335
2018-04-01,7356.092833333333
2018-04-02,7127.947166666666
2018-04-03,6375.120666666667
2018-04-04,6933.534833333333
2018-04-05,6718.3904999999995
2018-04-06,6917.280499999999
2018-04-07,6740.502666666667
2018-04-08,7458.362333333333
2018-04-09,7098.090833333333
2018-04-10,6848.251833333333
2018-04-11,6387.2621666666655
2018-04-12,5994.711166666666
2018-04-13,7425.7908333333335
2018-04-14,8073.781
2018-04-15,7875.945833333333
2018-04-16,7007.7195
2018-04-17,7096.409833333333
2018-04-18,6757.890833333333
2018-04-19,7334.629666666666
2018-04-20,7690.8043333333335
2018-04-21,7241.560333333333
2018-04-22,7001.6669999999995
2018-04-23,6174.943333333334
2018-04-24,5643.584166666666
2018-04-25,6182.582166666667
2018-04-26,6985.502333333334
2018-04-27,7513.219666666666
2018-04-28,6940.131833333333
2018-04-29,6992.3071666666665
2018-04-30,6353.919666666667
2018-05-01,6748.0768333333335
2018-05-02,5010.965166666667
2018-05-03,6153.223166666667
2018-05-04,4941.3965
2018-05-05,6461.516
2018-05-06,6429.225333333333
2018-05-07,7048.172500000001
2018-05-08,7352.875333333333
2018-05-09,7159.981
2018-05-10,7546.4141666666665
2018-05-11,6347.814666666666
2018-05-12,5915.477166666666
2018-05-13,5727.1475
2018-05-14,6980.604333333334
2018-05-15,6172.7255000000005
2018-05-16,5413.688
2018-05-17,5498.867833333334
2018-05-18,6942.831666666666
2018-05-19,6995.5081666666665
2018-05-20,7062.603833333333
2018-05-21,6873.336499999999
2018-05-22,7353.809833333333
