,Ti_za,Ti_ae,Ti_bm,Ti_exp
2019-06-08 00:00:00,,,24.947862287290064,25.3480564
2019-06-08 00:10:00,24.86107373796557,25.987106090208,24.89670347427064,25.311138
2019-06-08 00:20:00,24.81932218954845,25.843582163292176,24.88344363940825,25.2742196
2019-06-08 00:30:00,24.777858108246622,25.72001130927883,24.84825674275657,25.2280716
2019-06-08 00:40:00,24.71283005046465,25.58869845501232,24.80772892035153,25.1876921
2019-06-08 00:50:00,24.664449316488568,25.54840641858757,24.77585816356837,25.147312600000003
2019-06-08 01:00:00,24.62100850389262,25.50953965900654,24.745578494068504,25.1000109
2019-06-08 01:10:00,24.57111265494868,25.429850871281307,24.70738924213425,25.0630925
2019-06-08 01:20:00,24.54216776475193,25.39409154523947,24.66442501659887,25.0100223
2019-06-08 01:30:00,24.50586408612605,25.39442485622838,24.624474104486097,24.9546447
2019-06-08 01:40:00,24.43186165700982,25.346877472683424,24.565716410699928,24.8681172
2019-06-08 01:50:00,24.32524078021485,25.16160002044218,24.49634067300593,24.7954341
2019-06-08 02:00:00,24.23555683586805,25.014627524241494,24.43263402755728,24.7712064
2019-06-08 02:10:00,24.17392800608109,24.931139764601124,24.37293641446312,24.7123677
2019-06-08 02:20:00,24.1738165479151,24.94208598044482,24.34571215894443,24.7077529
2019-06-08 02:30:00,24.175250216117853,24.823839210219056,24.33179530698174,24.6662197
2019-06-08 02:40:00,24.14655896953893,24.742470032735664,24.29063814299741,24.6362235
2019-06-08 02:50:00,24.102946426279207,24.702939409510144,24.25743812637505,24.6050736
2019-06-08 03:00:00,24.03167993851323,24.732899186834363,24.213819228953216,24.5566182
2019-06-08 03:10:00,24.00977827397976,24.529566355514227,24.15976952598579,24.473551800000003
2019-06-08 03:20:00,23.89222915178815,24.354285222934383,24.081006850091818,24.4077909
2019-06-08 03:30:00,23.812346096268406,24.20061256568337,24.0170055352406,24.375487300000003
2019-06-08 03:40:00,23.76982366691291,24.26293490762263,23.964278876983528,24.3247245
2019-06-08 03:50:00,23.70959644022684,24.30759950470662,23.90253402140163,24.2670395
2019-06-08 04:00:00,23.604960318145768,24.431973041237423,23.835157374184423,24.1539769
2019-06-08 04:10:00,23.48231006850045,24.32880913344773,23.753535579687288,24.0628346
2019-06-08 04:20:00,23.43151571142064,23.85530537505332,23.68853761890004,23.9797682
2019-06-08 04:30:00,23.407708162791348,23.74996355993921,23.642828366636643,23.8620908
2019-06-08 04:40:00,23.35264347868626,24.07656980671077,23.6033001479541,23.8067132
2019-06-08 04:50:00,23.29497461062624,24.075261933481027,23.55961391676581,23.7605652
2019-06-08 05:00:00,23.238758136641867,24.05070657448477,23.52223913885243,23.7109561
2019-06-08 05:10:00,23.20934213584496,23.941528447039563,23.46427523799476,23.6463489
2019-06-08 05:20:00,23.17530504942496,23.71151296009971,23.411950028207063,23.5448233
2019-06-08 05:30:00,23.13674280996544,23.73085946932431,23.38506155216448,23.4756013
2019-06-08 05:40:00,23.00488895156837,23.49259673292857,23.322675942989584,23.4513736
2019-06-08 05:50:00,22.88059665270793,23.18783389224465,23.232418045204163,23.3533091
2019-06-08 06:00:00,22.843794588651583,23.2469679816757,23.18700648063284,23.2725501
2019-06-08 06:10:00,22.82068096347301,23.21577098675477,23.14488446093012,23.2160188
2019-06-08 06:20:00,22.85128909802467,23.284943667982585,23.16289667583805,23.153719
2019-06-08 06:30:00,22.9403849199749,23.51446518373277,23.25867203967471,23.0683452
2019-06-08 06:40:00,23.08201642907128,23.43052351255022,23.360777449281624,23.0129676
2019-06-08 06:50:00,23.14492870212056,23.21368853769049,23.38784609776936,22.9679733
2019-06-08 07:00:00,23.189226328918053,23.1973137567604,23.45186513065887,22.9022124
2019-06-08 07:10:00,23.319216093672207,23.25398722243061,23.58398390496583,22.9252864
2019-06-08 07:20:00,23.46121021404523,23.54840991447373,23.776910959947774,22.8849069
2019-06-08 07:30:00,23.55317609976413,23.63289382144632,23.913274933652,22.899905
2019-06-08 07:40:00,23.736347665363144,23.73803941988873,24.03356391288663,22.9495141
2019-06-08 07:50:00,23.88600399976317,23.94323180721173,24.19643946835689,22.9875862
2019-06-08 08:00:00,24.020202840047336,24.15055236982249,24.355588328746368,22.9760492
2019-06-08 08:10:00,24.01687128634048,24.058043378512973,24.365826808467304,23.0025843
2019-06-08 08:20:00,23.986820480632492,23.952108850091697,24.35597597942353,23.0971877
2019-06-08 08:30:00,24.055233748047986,24.059833290400043,24.44514439404697,23.1202617
2019-06-08 08:40:00,24.13443737596997,24.14490657431443,24.551004280279138,23.1202617
2019-06-08 08:50:00,24.235080949845727,24.2850411569578,24.63024818358828,23.1502579
2019-06-08 09:00:00,24.3577448622514,24.4657929138781,24.726715161083973,23.3290814
2019-06-08 09:10:00,24.452941830488705,24.65873656864589,24.85062166751624,23.3625387
2019-06-08 09:20:00,24.65106601006984,24.880377872679,24.999800896319893,23.3510017
2019-06-08 09:30:00,24.79268942879868,25.046787934212407,25.11256591300601,23.53444
2019-06-08 09:40:00,24.89946261628493,25.170667077515144,25.22718046978568,23.742106
2019-06-08 09:50:00,25.007105664712498,25.367791500253688,25.385088985487386,23.7478745
2019-06-08 10:00:00,25.12793748129631,25.58078817425408,25.5435857438058,24.0097644
2019-06-08 10:10:00,25.293807925089137,25.74085581023109,25.67925507930856,24.2058934
2019-06-08 10:20:00,25.429177729474247,25.92208129889503,25.828012941474103,24.3385689
2019-06-08 10:30:00,25.55647044633921,26.01656012232489,25.9234767898188,24.4170205
