tiempo,To,hr,Environment:Site Outdoor Air Barometric Pressure [Pa](TimeStep),ws,wd,Id,Ib,alpha,C_ROJAS:Zone Electric Equipment Electric Power [W](TimeStep),C_ROJAS:Zone Electric Equipment Total Heating Rate [W](TimeStep),C_1:Zone Mean Air Temperature [C](TimeStep),C_2:Zone Mean Air Temperature [C](TimeStep),Ti,T_1:Zone Mean Air Temperature [C](TimeStep),T_2:Zone Mean Air Temperature [C](TimeStep),T_ROJAS:Zone Mean Air Temperature [C](TimeStep)
2019-06-08 00:00:00,,,,,,,,,,,,,,,,
2019-06-08 00:10:00,19.9,98.0,87653.0,1.1,57.0,0.0,0.0,-47.9007830190096,0.0,0.0,25.45324829999188,25.13005201829572,25.987106090208,23.21732027857218,23.11176911482566,23.6232889336862
2019-06-08 00:20:00,19.9,98.0,87628.0,0.4,42.0,0.0,0.0,-48.19332225023235,0.0,0.0,25.32092897489597,24.99151962936961,25.843582163292176,23.160709575795,23.05400466817226,23.55249193166504
2019-06-08 00:30:00,20.0,97.0,87597.0,0.6,113.0,0.0,0.0,-48.34449338875129,0.0,0.0,25.20498724272029,24.8723400205428,25.72001130927883,23.1396049314516,23.031219726557286,23.51634380393876
2019-06-08 00:40:00,20.0,98.0,87584.0,1.1,111.0,0.0,0.0,-48.352754019149785,0.0,0.0,25.08124371607554,24.746611310550065,25.58869845501232,23.041855268355093,22.93307342931583,23.405240739426723
2019-06-08 00:50:00,20.0,98.0,87581.0,0.5,123.0,0.0,0.0,-48.21801921610943,0.0,0.0,25.066500975044324,24.72540907309628,25.548406418587575,23.081246884467078,22.97069280085062,23.429900045564803
2019-06-08 01:00:00,20.0,98.0,87565.0,0.6,207.0,0.0,0.0,-47.94166584726062,0.0,0.0,25.050303181700656,24.704223408371217,25.50953965900654,23.052946529859927,22.94107088325554,23.38780677213579
2019-06-08 01:10:00,20.0,98.0,87550.0,0.7,181.0,0.0,0.0,-47.52646349759992,0.0,0.0,24.987717431786002,24.63696745859821,25.429850871281307,23.007687173053117,22.894407162936584,23.329121835662
2019-06-08 01:20:00,20.0,98.0,87543.0,0.7,325.0,0.0,0.0,-46.97643992455401,0.0,0.0,24.979872440927586,24.62123439261702,25.39409154523947,23.034586616424843,22.91959964615145,23.34156085960517
2019-06-08 01:30:00,20.0,98.0,87537.0,0.9,331.0,0.0,0.0,-46.296695776813735,0.0,0.0,25.01193451828276,24.646268343809492,25.39442485622838,23.028875352104507,22.91259177633489,23.32224207014028
2019-06-08 01:40:00,19.8,98.0,87549.0,1.2,323.0,0.0,0.0,-45.49318734578516,0.0,0.0,24.98594652654592,24.61433809636805,25.346877472683424,22.88070985744424,22.76392096501459,23.163163465871264
2019-06-08 01:50:00,19.7,98.0,87540.0,1.6,10.0,0.0,0.0,-44.572496954021496,0.0,0.0,24.80440527229151,24.42724620628137,25.16160002044218,22.978848070920144,22.859227255559727,23.2407382326106
2019-06-08 02:00:00,19.6,99.0,87542.0,1.6,339.0,0.0,0.0,-43.54160860140869,0.0,0.0,24.664008311186336,24.28283715960306,25.014627524241494,22.864189599955836,22.742481376191876,23.113981505383283
2019-06-08 02:10:00,19.4,99.0,87528.0,1.4,1.0,0.0,0.0,-42.407702603824085,0.0,0.0,24.60279029878066,24.209503086877664,24.931139764601124,22.66939208589877,22.549007601072933,22.91282021334324
2019-06-08 02:20:00,19.5,99.0,87534.0,0.7,40.0,0.0,0.0,-41.17797825915662,0.0,0.0,24.64650354636137,24.243410648326627,24.94208598044482,22.509021272637614,22.387937394879206,22.74536946691332
2019-06-08 02:30:00,19.6,98.0,87527.0,0.2,332.0,0.0,0.0,-39.85950900953953,0.0,0.0,24.54216375407771,24.12990556507356,24.823839210219056,22.51455186433289,22.39184083400344,22.738071050462985
2019-06-08 02:40:00,19.5,98.0,87525.0,0.6,37.0,0.0,0.0,-38.45913076845659,0.0,0.0,24.479630431832124,24.05879380989804,24.742470032735664,22.433118916566468,22.308695879318535,22.644543745896936
2019-06-08 02:50:00,19.6,98.0,87521.0,0.3,12.0,0.0,0.0,-36.98336133389125,0.0,0.0,24.4686052292265,24.03754592970856,24.702939409510144,22.44521513611346,22.320137304462683,22.645440969404397
2019-06-08 03:00:00,19.6,98.0,87518.0,1.3,7.0,0.0,0.0,-35.43834712352952,0.0,0.0,24.538668846926768,24.097089450542985,24.732899186834363,22.56644109483893,22.44008512805032,22.751026327983304
2019-06-08 03:10:00,19.5,98.0,87511.0,1.0,329.0,0.0,0.0,-33.829832683686014,0.0,0.0,24.320826707921476,23.876510600829864,24.529566355514227,22.387593252663695,22.25865907349228,22.561986354116677
2019-06-08 03:20:00,19.2,98.0,87521.0,1.4,236.0,0.0,0.0,-32.16314830677652,0.0,0.0,24.141995814631237,23.69435925823626,24.354285222934386,21.90136209736123,21.776433374084768,22.076398115637467
2019-06-08 03:30:00,19.2,98.0,87524.0,1.4,265.0,0.0,0.0,-30.44321140841738,0.0,0.0,24.001294095995007,23.542064300924856,24.200612565683375,21.91782992101168,21.7909822064754,22.0807812771481
2019-06-08 03:40:00,19.1,97.0,87532.0,1.3,300.0,0.0,0.0,-28.67453786802177,0.0,0.0,24.110069956393176,23.634988095904976,24.26293490762263,21.990095166355008,21.86089359977776,22.13947731832048
2019-06-08 03:50:00,18.9,97.0,87538.0,1.5,323.0,0.0,0.0,-26.861260181096615,0.0,0.0,24.187864641717983,23.70573106967473,24.30759950470662,21.956245958282523,21.82662277194087,22.09438047513131
